Day,Stock_A,Stock_B,Stock_C,Stock_D,Stock_E
1,100.0,100.0,100.0,100.0,100.0
2,102.0350647240377,101.24702608915726,93.09583711912386,105.06574247127757,98.12180441506567
3,100.7999586215135,105.88923526913919,91.80007197125437,104.3877811213523,95.78419042257319
4,88.94962516628496,104.06373690843286,82.71529338065315,108.61600503680404,96.39002272300014
5,88.75349379905141,95.94197241415098,80.42247773641088,104.07335535682242,100.95955860429399
6,85.16605774469419,99.91258574939772,76.49051285893505,97.85206517097447,91.43699293911988
7,78.64365659352886,95.09342269222124,79.85462548979207,100.42625347984466,83.186397200653
8,71.27381316521897,96.22879539770513,80.19217077117575,94.64696600892941,88.4400657743443
9,70.42984833824288,102.11332423139444,78.00075299386569,93.52510347962443,92.06770771488762
10,75.32096350803353,103.05225576420476,82.89877526933245,93.07491625347802,87.48212703130012
11,74.17792762416975,103.43029110222923,84.01981691427555,91.64592896097166,83.97663315501586
12,75.91905041016936,97.17404711722126,87.538020974723,96.62906015016708,82.19541543081093
13,71.51569082028327,95.5574926855335,86.99346565287425,92.0438334655617,82.96410323139386
14,74.40190415662028,90.01175795759104,90.71814737160184,90.0313986371552,85.4019527425221
15,78.1491389994499,93.76162960235986,100.77313810456427,86.63108230876038,84.16743807535231
16,82.21854065324077,101.15603521854126,102.47516101606391,76.06387793280146,85.08090282766565
17,78.536921550885,101.24494045867425,99.75103467846012,73.70086394587605,87.37037976809374
18,82.48792551680657,100.57095836228156,94.07899478685083,72.3548974123441,85.79445451492462
19,84.7450153629243,107.00313433888978,109.77770101281811,73.04771179169354,88.92705115415005
20,84.66660244303375,99.73916611157607,114.6882782988004,73.21080940210497,92.72027260239632
21,84.25648720944311,104.90675118897448,108.58498850251884,75.91226972345433,97.81368933870046
22,81.14621378301574,93.18148295230623,102.48831194376262,77.90222752156394,93.55692699627733
23,82.14533608827088,91.10288339463264,101.13519151289535,80.97394897625924,97.21841870177626
24,82.27390331690611,91.21168064740984,102.58262342869831,76.65136556723428,109.44776608116055
25,81.1406493743638,92.01633780570273,109.92718908102238,77.9144056416826,98.631706821481
26,85.35954862603545,93.48237355272404,111.41147536785948,75.59825263728212,105.09932577867058
