Day,Stock_A,Stock_B,Stock_C,Stock_D,Stock_E
1,100.0,100.0,100.0,100.0,100.0
2,99.53059297706002,101.1017193017707,101.46023376111806,99.22861159523276,100.95270616789549
3,99.89603469805638,101.68053116056578,100.1015980504803,98.44467515077444,101.80685124187127
4,101.85193066413761,101.11507157620446,98.68933635814129,98.01166116331805,100.89373277657884
5,101.04636507033442,99.71794157443026,100.42786367117054,97.87546061429276,100.25745305672184
6,101.97234677633972,100.9296237611889,100.67664990036472,98.48191391382215,99.27086528044259
7,101.1488432317294,102.74013683138863,100.25579722610931,98.23041541936604,98.58255251263786
8,101.13633517623394,101.7424701374348,100.7600910510302,100.22356406450321,100.43764376126684
9,99.71121149513529,103.72487718452845,100.56907414582085,98.35102841026455,101.43140216089633
10,101.35229935241281,104.24719930807646,99.62808529135852,98.37370926833997,102.00840073268046
11,101.36650759077713,104.57078945257221,99.50237613040224,100.31693986598319,102.67834535857861
12,100.88736397700264,103.3227565838087,98.3099545631428,100.8874425821639,104.30495433698262
13,103.0976218725621,102.8598401286435,100.4732359292905,102.52079045475624,103.90309688387441
14,103.9399294921379,102.39203885252434,100.2845613989084,104.07014871098117,104.6802978984189
15,102.61413671132158,101.87910744096345,100.53906176847369,104.93864293379382,107.22015780496332
16,103.43736636109111,103.62044885728199,99.5518252126009,105.22744688324632,106.47588571531631
17,102.96720432212295,102.69845575334573,99.56705533370804,106.49920262585299,105.87945777217254
18,102.35442151918426,102.42999569277416,99.75608747344329,107.51322825440117,107.26048554310587
19,104.14573385309038,99.75341877611498,99.2908414664916,106.12550805161843,107.46106882494934
20,102.64106128429438,100.41902230656285,99.7014453129679,105.89244022875808,107.48607257343421
21,103.03228829645036,101.41916107657015,99.39444894423774,106.40605297227692,106.63873555417757
22,103.86892579127085,101.18415426297722,99.3415189785488,106.8103261563168,106.54285056970052
23,104.05831744128072,102.73489039791019,96.86524389523261,105.79154381015347,106.19940728968474
24,103.57810580169387,103.72544702706469,98.4168630219772,105.30988096379674,104.62710769702943
25,103.73633263544336,103.87265222029308,97.7777136287707,104.58334251849718,106.73316014619188
26,105.23607555465142,104.17153634665489,98.10623768768185,104.40418250836994,103.770984162729
