Day,Stock_A,Stock_B,Stock_C,Stock_D,Stock_E
1,100.0,100.0,100.0,100.0,100.0
2,100.86029115309493,99.07919424938986,98.21090641328475,100.6834874086478,99.35635367048829
3,100.70124657256838,98.64182967556424,98.73197697816565,99.47507131409205,100.53198626893693
4,101.18614133571478,98.12606922981195,97.670016915849,98.57142589197319,100.82240997226646
5,101.22930260114029,98.41362084937612,97.44539654670028,97.72257602386907,100.4001668473417
6,102.4708682664585,98.73114073218619,98.49394058445401,98.45153628721091,99.6175253888596
7,101.55387464080276,100.98559771898351,98.44982488173996,98.59484723893304,100.45207390041956
8,101.14885414164195,102.03467487454182,98.00769084873492,97.70773175075756,100.48769026318391
9,102.02534600592556,101.08274830668503,97.95911350144003,99.93680371844638,100.18991712012189
10,100.65853033053129,100.74762473819736,97.59705424617684,100.01635792795852,99.54113242158017
11,101.31794932573094,100.44811052328691,98.58877558672961,101.04693205039173,101.83585344356824
12,101.54249994650598,101.21709051294087,97.98207049100436,102.85194776758546,101.67723092347369
13,101.08095615713712,101.54186303440129,96.04123911129828,103.96047290774678,102.66998318521675
14,101.12453838617546,103.61103673746753,95.89140107273931,105.27773945445473,103.80958864051426
15,101.82560560376449,104.14998614728417,96.43940572032979,104.74627610000437,104.6312144277053
16,100.93715003677215,104.60115552454205,96.8427336235726,104.49183897597709,104.42003974356412
17,102.0681411153093,106.05797467789414,95.85534331373057,104.46096812620581,106.20062148976028
18,103.10704066436283,106.31315434386384,95.4011052035248,105.00211634948704,105.98689772877688
19,101.8967605102569,107.21685091236611,95.37219829540717,104.65095832023401,105.33291169651422
20,102.29713063084257,106.87295026423314,95.38344104159428,105.0514098300139,106.26540179786514
21,100.75425265098598,105.52036834113166,96.48830088431504,106.83640880165503,106.08425322648442
22,99.05523150402746,105.5660286612323,98.53578460648974,105.29241027657531,105.9026478327405
23,99.40965639286391,103.83625823569153,97.73920093836949,105.5403622404405,105.12027963378694
24,100.82808868869705,103.84455930164968,98.77607088850023,106.0316820696616,102.33861089217919
25,99.3038333887955,103.80708410591302,98.74453300891665,106.87226222647095,102.76342264956673
26,100.16886055857324,104.82185872197466,99.85595579020975,105.37697212520013,101.99818492721957
27,102.82092502764881,107.43912733204205,98.81154796904111,105.27979723254371,101.83149533865237
28,103.90409454918652,108.81216163009145,100.39528227194278,105.49930045831077,103.85929356396628
29,103.64290583321049,106.73106177363573,101.87164110258237,105.76895806546331,103.95907598995203
30,103.52009897419153,106.06378785428308,100.41753723531475,107.1026894679283,103.97146611225996
31,104.16487723060246,106.06443614820938,101.53728232549177,107.03352299401578,106.16111906046365
32,104.95030365891644,106.09580071495708,102.01102704582367,108.46829962344303,107.17996018019818
33,104.86321079874702,107.05601094288659,102.46315516436486,108.00545000778206,108.5848166688732
34,104.71810063199688,105.57655095474291,102.74180983804143,109.2880667353848,108.79744361494292
35,103.2946752521044,105.12858610517635,103.70319480571179,109.56224823254469,107.98509160475085
36,105.29969762893724,105.15128661847157,103.13223362605243,109.87528414243805,108.90588074811303
37,105.399371302163,105.40013808909895,103.08003782357522,112.68675292432592,108.21537059685267
38,105.52098810694065,104.45819153624042,102.29192545878531,115.34358619858922,109.28962047275101
39,105.5119704851921,104.27827396002604,102.26661205712571,116.72366995305026,109.7427395837606
40,104.15739668360168,104.74008827134668,102.58999664202732,118.5985993946154,110.38259725970121
41,105.10752076836019,104.6537287762704,101.43624928027089,118.79358480336187,107.46299494229864
